dt,driver_id,团单号,stay_time_1st,arrive_station_time_1st,station_id_1,station_id_2,pair,driving_time,distance,运输任务号,lon_1,lat_1,lon_2,lat_2,club_order,club_total,sum_skus,sum_volume,sum_weight,sum_price,total_driving_time,total_distance
2021-05-13,jd_74ca78ac7c255,4299411444681021,13.47,2021-05-13 07:18:54,13126856,23685894,1312685623685894,28.013333066304533,22.644000000000002,TJ21051209995588,112.057057,30.902336,112.01985,30.962329999999998,0,4,11,0.0096,2.9139999999999997,97.98,-1.0,-1.0
2021-05-13,jd_SwZIwBSiwbiA,4298884528359466,2.67,2021-05-13 09:38:15,8406424,8204988,84064248204988,5.329999923706055,0.695,TJ21051209995700,111.289495,30.691978999999996,111.28993999999999,30.693701,2,14,7,0.0046,226.455,36.88,17.0,3.444
2021-05-13,jd_SwZIwBSiwbiA,4298798031337068,2.33,2021-05-13 10:42:15,13047020,8286509,130470208286509,4.670000076293945,0.965,TJ21051209995700,111.29101999999999,30.695729999999998,111.29111,30.69486400000001,8,14,7,0.0035,14.17,89.65,17.0,3.444
2021-05-13,jd_SwZIwBSiwbiA,4300433799477954,2.67,2021-05-13 10:49:15,8286509,24125379,828650924125379,4.329999923706056,0.408,TJ21051209995700,111.29111,30.69486400000001,111.293472,30.694827000000004,9,14,8,12.5057,14.882,34.96,17.0,3.444
2021-05-13,jd_SwZIwBSiwbiA,4298783529138425,11.33,2021-05-13 11:07:35,7965343,22286845,796534322286845,2.6700000762939453,1.376,TJ21051209995700,111.294201,30.693052,111.297329,30.693416,13,14,30,0.0725,40.31800000000001,178.1,17.0,3.444
2021-05-13,jd_qkkgImuIGzOU,4299537311103120,3.02,2021-05-13 10:38:18,23682275,8200212,236822758200212,6.980000019073486,1.4340000000000002,TJ21051209995857,112.275406,30.311359999999997,112.278007,30.305401,10,12,7,0.0055,1.775,31.55,19.34333327611288,2.324
2021-05-13,jd_qkkgImuIGzOU,4299482238056073,7.67,2021-05-13 10:48:18,8200212,18721026,820021218721026,12.36333325703939,0.89,TJ21051209995857,112.278007,30.305401,112.275985,30.307657,11,12,4,0.0061,1.26,20.54,19.34333327611288,2.324
2021-05-13,jd_qjlWpsIWMuDX,4298783559010763,13.7,2021-05-13 08:32:10,8525198,18047313,852519818047313,33.066666857401536,9.852,TJ21051209995876,111.25563799999999,30.753188,111.22993799999999,30.703109,0,7,25,0.9822,3008.264,215.59,39.466667048136394,13.902999999999999
2021-05-13,jd_qjlWpsIWMuDX,4300001251903717,8.2,2021-05-13 09:28:31,18567747,18887271,1856774718887271,6.400000190734862,4.051,TJ21051209995876,111.223492,30.69950900000001,111.19471000000001,30.68197,2,7,16,0.0148,5.575,77.85,39.466667048136394,13.902999999999999
2021-05-13,jd_pYfcfmBXptcH,4300150721235530,2.13,2021-05-13 08:34:02,7841143,8120383,78411438120383,1.269999885559082,0.855,TJ21051209995930,112.276987,30.322356,112.27726499999999,30.315813000000002,2,15,5,0.0177,3.27,38.63,91.15333312352502,2.438
2021-05-13,jd_pYfcfmBXptcH,4298782341483010,3.72,2021-05-13 08:52:39,17560565,24040015,1756056524040015,59.11333330472311,0.41600000000000004,TJ21051209995930,112.270973,30.316008,112.27283,30.31308,6,15,187,13.3544,709.9060000000003,1134.77,91.15333312352502,2.438
2021-05-13,jd_pYfcfmBXptcH,4298782377134676,2.18,2021-05-13 10:01:07,8281112,7960196,82811127960196,30.769999933242804,1.167,TJ21051209995930,112.267698,30.317186,112.270949,30.311579,12,15,64,12.5427,27.428,280.41,91.15333312352502,2.438
2021-05-13,jd_uLJAgzqtnUwh,4298845203561027,4.0,2021-05-13 07:47:09,17685302,23640119,1768530223640119,7.016666666666668,0.721,TJ21051209995956,112.266849,30.30694,112.266908,30.304147999999998,13,15,23,0.0136,4.29,106.4,73.5733333905538,2.736
2021-05-13,jd_uLJAgzqtnUwh,4299199089637240,2.92,2021-05-13 08:01:05,12241186,18002589,1224118618002589,14.079999923706055,1.38,TJ21051209995956,112.26790600000001,30.302796999999998,112.26789,30.302549,1,15,10,0.0191,4.46,33.63,73.5733333905538,2.736
2021-05-13,jd_uLJAgzqtnUwh,4298786754317327,7.23,2021-05-13 08:28:56,18561843,8080803,185618438080803,29.236666647593182,0.261,TJ21051209995956,112.26235700000001,30.301764000000002,112.26016200000001,30.30299,3,15,41,0.0238,7.745,114.73,73.5733333905538,2.736
2021-05-13,jd_uLJAgzqtnUwh,4298787246230790,2.33,2021-05-13 09:07:44,12203698,8199998,122036988199998,1.0033334096272788,0.059000000000000004,TJ21051209995956,112.26019699999999,30.304142,112.2604,30.304634999999998,6,15,46,0.4167,63.94,293.5,73.5733333905538,2.736
2021-05-13,jd_uLJAgzqtnUwh,4298789659964851,3.33,2021-05-13 09:11:04,8199998,12480422,819999812480422,22.23666674296061,0.315,TJ21051209995956,112.2604,30.304634999999998,112.26212,30.30473,7,15,40,0.0441,15.9,199.92,73.5733333905538,2.736
2021-05-13,jd_4adbbd056cbed,4298787531683851,4.33,2021-05-13 08:20:10,8086867,12926387,808686712926387,30.353333409627275,1.041,TJ21051209996007,111.42526399999998,30.527874,111.418356,30.529934,3,14,30,0.0257,609.414,128.58,81.88999996185302,2.633
2021-05-13,jd_4adbbd056cbed,4298787981981495,4.63,2021-05-13 09:28:34,23326030,12326046,2332603012326046,34.036666552225746,1.16,TJ21051209996007,111.427003,30.531091999999997,111.42946299999998,30.529947999999997,7,14,34,0.0318,18.865,199.39,81.88999996185302,2.633
2021-05-13,jd_4adbbd056cbed,4298790173374003,2.33,2021-05-13 11:10:50,13485932,8205378,134859328205378,9.00333340962728,0.11800000000000001,TJ21051209996007,111.433406,30.521518,111.43411299999998,30.522071999999998,9,14,4,0.0369,3020.4,160.0,81.88999996185302,2.633
2021-05-13,jd_4adbbd056cbed,4298787170569172,2.17,2021-05-13 11:34:31,12166910,12806323,1216691012806323,8.496666590372719,0.314,TJ21051209996007,111.43537099999999,30.527946999999998,111.43598899999999,30.529834,11,14,40,0.0247,3014.63,298.54,81.88999996185302,2.633
2021-05-13,jd_4accb4fe71e08,4298783772801579,5.33,2021-05-13 07:40:09,18043725,12086386,1804372512086386,5.003333409627278,0.816,TJ21051209996167,104.415626,30.84740900000001,104.41721899999999,30.847501,4,35,2,0.0001,0.35,5.6,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298788991486846,3.0,2021-05-13 07:53:49,7441935,13310700,744193513310700,3.333333333333333,0.235,TJ21051209996167,104.418465,30.849344,104.4181,30.849909999999998,7,35,4,0.0017,0.89,14.19,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298789132291188,5.0,2021-05-13 08:08:29,18592119,17920609,1859211917920609,9.666666666666666,1.72,TJ21051209996167,104.417565,30.848669,104.42333199999999,30.857854,9,35,2,0.0125,13.8,13.89,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298791045450568,7.0,2021-05-13 08:30:29,17750193,12983195,1775019312983195,5.666666666666666,0.46799999999999997,TJ21051209996167,104.422368,30.855159999999998,104.422727405,30.852124809,12,35,16,0.0399,4.97,39.76,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4299427209235001,3.0,2021-05-13 08:54:09,8315192,8150286,83151928150286,3.666666666666667,0.344,TJ21051209996167,104.43293,30.84484,104.43354000000001,30.844953999999998,15,35,6,0.0135,1.6,19.94,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4300402386653097,2.23,2021-05-13 09:03:03,8208063,17714926,820806317714926,3.5366666475931803,0.175,TJ21051209996167,104.434855,30.845775,104.436027,30.846337,17,35,1,0.001,0.2,2.99,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4300355157850345,2.67,2021-05-13 09:11:29,18967831,18631067,1896783118631067,2.9633332570393884,1.1059999999999999,TJ21051209996167,104.436752,30.844666999999998,104.439707,30.841348999999997,19,35,3,0.009000000000000001,1.6,10.37,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298783397694996,5.63,2021-05-13 09:17:07,18631067,22749196,1863106722749196,18.803333218892416,0.9540000000000001,TJ21051209996167,104.439707,30.841348999999997,104.43724,30.848119,20,35,16,0.0362,5.765,47.31,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298783148395731,4.67,2021-05-13 09:55:49,18669055,12268741,1866905512268741,2.663333257039388,0.633,TJ21051209996167,104.43561899999999,30.856634000000003,104.43396,30.856695000000002,23,35,24,0.0435,11.31,69.11,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298813775181593,2.67,2021-05-13 10:10:49,22628969,8102791,226289698102791,3.7466665903727217,0.256,TJ21051209996167,104.437187,30.85861400000001,104.43666,30.860193,26,35,4,0.0131,21.07,169.29,66.00333302815756,8.049
2021-05-13,jd_4accb4fe71e08,4298783559546766,2.98,2021-05-13 10:20:46,18191916,18392464,1819191618392464,6.953333314259847,1.3419999999999999,TJ21051209996167,104.43357900000001,30.864643,104.439219,30.855427000000002,28,35,6,0.016,2.16,29.31,66.00333302815756,8.049
2021-05-13,jd_629e2ff86cf6d,4299513672202975,2.82,2021-05-13 09:21:58,17885986,17647873,1788598617647873,13.063333400090535,1.557,TJ21051209996186,111.31976499999999,30.70797,111.315674,30.710127000000004,0,10,7,0.0023,3.758,44.1,65.7133335908254,2.116
2021-05-13,jd_629e2ff86cf6d,4298784533924498,4.63,2021-05-13 09:52:01,13086044,8125582,130860448125582,47.31999988555909,0.191,TJ21051209996186,111.314476,30.709440999999998,111.314558,30.710643,3,10,34,0.0865,15.66,189.54,65.7133335908254,2.116
2021-05-13,jd_629e2ff86cf6d,4298791026445112,11.07,2021-05-13 11:19:43,18086210,18564971,1808621018564971,5.33000030517578,0.368,TJ21051209996186,111.31145,30.710796999999996,111.31118799999999,30.708147999999998,7,10,25,0.0283,14.41,133.04,65.7133335908254,2.116
2021-05-13,jd_4c1bfc77bab87,4298788240652652,5.08,2021-05-13 08:06:58,12806615,8326473,128066158326473,19.80333340962728,18.395,TJ21051209996213,112.159377,31.277425,112.05676299999999,31.395972999999998,0,3,19,0.0341,13.23,108.1,23.983333619435626,20.493000000000002
2021-05-13,jd_4c1bfc77bab87,4300410241239411,4.47,2021-05-13 08:31:51,8326473,12206242,832647312206242,4.18000020980835,2.0980000000000003,TJ21051209996213,112.05676299999999,31.395972999999998,112.03813400000001,31.395899,1,3,4,0.0222,3024.0,167.6,23.983333619435626,20.493000000000002
2021-05-13,jd_5471dea38f5db,4298789636373400,3.0,2021-05-13 09:51:22,8040213,12920251,804021312920251,26.216666666666665,0.35,TJ21051209996221,112.27141,30.30459,112.27395,30.30582,6,12,12,0.0096,6.035,54.01,-1.0,-1.0
2021-05-13,jd_70a8d21d1ce2a,4298784899452094,5.45,2021-05-13 06:48:08,18043233,7478976,180432337478976,15.716666857401533,0.122,TJ21051209996230,113.967453,33.138954,113.96847700000001,33.138596,2,23,244,2.4668,1279.127,799.64,99.49666673342388,30.952
2021-05-13,jd_70a8d21d1ce2a,4298790324588002,2.95,2021-05-13 08:39:20,8070472,7950340,80704727950340,7.71666661898295,0.263,TJ21051209996230,113.983325,33.133713,113.983273,33.132752,5,23,14,0.0912,1054.64,60.4,99.49666673342388,30.952
2021-05-13,jd_70a8d21d1ce2a,4298788210035193,8.32,2021-05-13 09:22:12,18207484,23669994,1820748423669994,3.5800003051757816,2.945,TJ21051209996230,113.980985,33.163536,113.959779,33.169522,7,23,17,0.1077,41.02,389.23,99.49666673342388,30.952
2021-05-13,jd_70a8d21d1ce2a,4298787526921626,2.33,2021-05-13 09:41:10,7910059,23670051,791005923670051,1.3366667429606118,0.271,TJ21051209996230,113.91893999999999,33.203215,113.91863899999998,33.206018,9,23,5,0.0875,1.7,13.48,99.49666673342388,30.952
2021-05-13,jd_70a8d21d1ce2a,4298783094426517,6.33,2021-05-13 09:59:50,13759688,17789754,1375968817789754,7.336666742960611,1.984,TJ21051209996230,113.87916000000001,33.219809999999995,113.881149,33.235012,12,23,14,0.1955,4.577,33.88,99.49666673342388,30.952
2021-05-13,jd_70a8d21d1ce2a,4298783193516035,2.42,2021-05-13 10:15:55,12390113,8314646,123901138314646,8.946666590372722,0.184,TJ21051209996230,113.87876000000001,33.234361,113.87931699999999,33.235766,15,23,58,0.0403,2115.518,120.82,99.49666673342388,30.952
2021-05-13,jd_70a8d21d1ce2a,4298783421385010,2.67,2021-05-13 10:53:39,17917317,8394182,179173178394182,24.09666659037272,7.023,TJ21051209996230,113.840331,33.241301,113.801606,33.259991,17,23,1,0.008,1.5,4.2,99.49666673342388,30.952
2021-05-13,jd_70a8d21d1ce2a,4298792830422075,9.1,2021-05-13 11:20:25,8394182,19271843,839418219271843,8.549999618530272,6.33,TJ21051209996230,113.801606,33.259991,113.83110400000001,33.270277,18,23,23,0.0308,10.677999999999999,38.06,99.49666673342388,30.952
2021-05-13,jd_70a8d21d1ce2a,4298785280837750,8.0,2021-05-13 11:38:04,19271843,19116614,1927184319116614,22.216666666666665,11.83,TJ21051209996230,113.83110400000001,33.270277,113.909554,33.273944,19,23,2,0.001,0.4,6.24,99.49666673342388,30.952
2021-05-13,jd_4bb80385e4d3e,4298787497592989,4.67,2021-05-13 08:00:50,22944760,13664556,2294476013664556,20.663333257039387,1.604,TJ21051209996284,104.162941,30.615740000000002,104.148658,30.615451,12,27,13,0.0674,5.37,36.58,92.26666666666668,4.113
2021-05-13,jd_4bb80385e4d3e,4298784244922622,20.0,2021-05-13 08:26:10,13664556,8230809,136645568230809,67.65,0.779,TJ21051209996284,104.148658,30.615451,104.156328,30.615042,3,27,31,0.0498,4.99,52.21,92.26666666666668,4.113
2021-05-13,jd_4bb80385e4d3e,4298792785573055,2.33,2021-05-13 11:05:29,8142333,18421886,814233318421886,2.6700000762939453,0.316,TJ21051209996284,104.166713427,30.623796854000002,104.16571134899999,30.625502698000002,22,27,3,0.0054,1.05,8.97,92.26666666666668,4.113
2021-05-13,jd_4bb80385e4d3e,4298785025260395,5.0,2021-05-13 11:10:29,18421886,18945595,1842188618945595,1.2833333333333332,1.4140000000000001,TJ21051209996284,104.16571134899999,30.625502698000002,104.162486,30.625429999999998,23,27,19,0.0738,6.86,66.11,92.26666666666668,4.113
2021-05-13,jd_598f65e67bdf9,4298793337539794,3.67,2021-05-13 07:41:17,8287946,18033729,828794618033729,3.0133332570393883,0.196,TJ21051209996324,114.035426,33.39415,114.03536000000001,33.395909,0,28,5,0.0854,25.3,147.5,14.899999904632569,3.5900000000000003
2021-05-13,jd_598f65e67bdf9,4298812562001511,2.33,2021-05-13 08:53:05,13070976,8030115,130709768030115,6.336666742960611,0.24600000000000002,TJ21051209996324,114.120506,33.393288,114.12315,33.393631,10,28,1,0.008,1.5,4.2,14.899999904632569,3.5900000000000003
2021-05-13,jd_598f65e67bdf9,4298792237168564,4.63,2021-05-13 09:58:32,12317877,23914443,1231787723914443,3.9033332188924152,2.7569999999999997,TJ21051209996324,114.187294,33.422462,114.165174,33.428255,15,28,5,0.0954,2.102,10.61,14.899999904632569,3.5900000000000003
2021-05-13,jd_598f65e67bdf9,4298789314198329,4.02,2021-05-13 10:07:04,23914443,7431033,239144437431033,1.6466666857401533,0.391,TJ21051209996324,114.165174,33.428255,114.163046,33.43014,16,28,2,0.0009,0.8,5.84,14.899999904632569,3.5900000000000003
2021-05-13,jd_GgEWjwWARuMl,4298792767343407,2.72,2021-05-13 07:58:00,23230986,23270648,2323098623270648,2.8299999713897703,0.7390000000000001,TJ21051209996385,114.269678,33.27125,114.264581,33.268802,16,28,2,0.132,0.75,5.87,18.376666657129928,5.1610000000000005
2021-05-13,jd_GgEWjwWARuMl,4298782479906084,4.22,2021-05-13 08:03:33,23270648,18647747,2327064818647747,5.563333543141684,1.479,TJ21051209996385,114.264581,33.268802,114.26737,33.262229999999995,15,28,22,0.0129,1364.2079999999999,68.67,18.376666657129928,5.1610000000000005
2021-05-13,jd_GgEWjwWARuMl,4298790119001489,4.8,2021-05-13 08:25:12,12990584,8406484,129905848406484,9.98333314259847,2.943,TJ21051209996385,114.26788,33.272886,114.267451,33.268822,20,28,21,0.1355,10.21,62.93,18.376666657129928,5.1610000000000005
2021-05-13,15814364050_p,4298784035194938,11.22,2021-05-13 09:12:28,22806324,12126974,2280632412126974,13.179999732971188,10.493,TJ21051209996387,112.00966000000001,33.20442,111.947667,33.249464,0,32,23,0.106,924.31,76.18,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298791617513664,11.22,2021-05-13 09:36:52,12126974,19285068,1212697419285068,28.296666399637857,17.035,TJ21051209996387,111.947667,33.249464,111.91563899999998,33.17873400000001,1,32,21,0.1568,9.63,59.47,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4299797034202383,3.0,2021-05-13 10:27:05,13401940,8481518,134019408481518,5.166666666666666,0.7290000000000001,TJ21051209996387,111.894102,33.171791999999996,111.89013600000001,33.169672999999996,4,32,2,0.0328,0.9,4.75,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298792360311299,8.33,2021-05-13 10:35:15,8481518,12164282,848151812164282,21.820000076293944,15.767999999999999,TJ21051209996387,111.89013600000001,33.169672999999996,111.88943300000001,33.082594,5,32,19,0.0491,181.52,53.39,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298792476725144,2.28,2021-05-13 11:05:24,12164282,8277686,121642828277686,13.536666695276894,4.223,TJ21051209996387,111.88943300000001,33.082594,111.870701,33.05673,6,32,7,0.0018,2.4,9.24,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298823201212931,3.7,2021-05-13 11:21:13,8277686,8036343,82776868036343,4.149999952316284,0.8490000000000001,TJ21051209996387,111.870701,33.05673,111.865761,33.060012,7,32,2,0.0009,0.602,3.71,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4299397853431930,4.33,2021-05-13 11:55:08,8197503,8157173,81975038157173,13.686666742960613,2.129,TJ21051209996387,111.857323,33.060162,111.847268,33.062421,14,32,5,0.0031,2.0,6.5,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4300174716140393,4.3,2021-05-13 12:17:27,8357308,17803946,835730817803946,7.33333314259847,0.88,TJ21051209996387,111.848809,33.060609,111.851019,33.057051,16,32,2,0.0016,0.88,4.96,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298790810241679,3.9,2021-05-13 12:37:43,7995512,12200726,799551212200726,44.899999904632566,9.84,TJ21051209996387,111.84896599999999,33.055034,111.87746100000001,32.988822,18,32,1,0.0001,8.0,49.0,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298786894345523,5.85,2021-05-13 13:26:31,12200726,13126863,1220072613126863,19.000000095367433,6.172999999999999,TJ21051209996387,111.87746100000001,32.988822,111.85386399999999,33.033724,19,32,6,0.4047,352.5,22.85,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298782870828081,3.48,2021-05-13 14:17:45,17916966,18395860,1791696618395860,1.8199999809265133,1.599,TJ21051209996387,111.868646,33.04459,111.86736499999999,33.052645,24,32,4,0.0038,0.565,5.16,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4300397208172555,3.33,2021-05-13 14:26:23,18795551,13556940,1879555113556940,1.0033334096272783,0.374,TJ21051209996387,111.8662,33.05368,111.864492,33.052025,26,32,7,0.086,3.0,19.88,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298788828302124,3.0,2021-05-13 14:33:43,18083386,18795583,1808338618795583,5.666666666666666,0.7090000000000001,TJ21051209996387,111.86289099999999,33.052191,111.85962099999999,33.053952,28,32,1,0.0005,0.2,3.12,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298792370622293,8.95,2021-05-13 14:42:23,18795583,7880964,187955837880964,3.6833335240681966,5.456,TJ21051209996387,111.85962099999999,33.053952,111.91375,33.041891,29,32,21,0.2296,907.128,54.28,186.4133328755696,77.98899999999999
2021-05-13,15814364050_p,4298785518876730,3.13,2021-05-13 14:55:01,7880964,17881105,788096417881105,3.169999885559082,1.732,TJ21051209996387,111.91375,33.041891,111.931696,33.038693,30,32,1,0.0014,0.14,2.9,186.4133328755696,77.98899999999999
2021-05-13,jd_uThDxjsiSEfV,4298782296493661,2.13,2021-05-13 08:42:55,18029609,7985368,180296097985368,5.869999885559082,0.17800000000000002,TJ21051209996440,117.17081,39.118051,117.17170700000001,39.118727,1,27,21,0.0045,7.404,94.16,68.18333333333334,3.7739999999999996
2021-05-13,jd_uThDxjsiSEfV,4298782586009114,14.25,2021-05-13 09:12:35,17709354,18788947,1770935418788947,4.283333333333335,0.727,TJ21051209996440,117.166132,39.120187,117.16387900000001,39.11937800000001,2,27,39,0.01,410.651,142.48,68.18333333333334,3.7739999999999996
2021-05-13,jd_uThDxjsiSEfV,4298791076067980,6.33,2021-05-13 09:41:47,13746496,12469541,1374649612469541,1.670000076293945,0.7759999999999999,TJ21051209996440,117.158479,39.119956,117.159784,39.117841999999996,6,27,5,0.0033,1.068,21.4,68.18333333333334,3.7739999999999996
2021-05-13,jd_uThDxjsiSEfV,4298782369674298,6.33,2021-05-13 09:49:47,12469541,13145648,1246954113145648,8.003333409627281,0.11,TJ21051209996440,117.159784,39.117841999999996,117.16105,39.11769,7,27,32,0.0666,35.381,277.09,68.18333333333334,3.7739999999999996
2021-05-13,jd_uThDxjsiSEfV,4298783860882137,2.38,2021-05-13 11:01:30,17549429,12281281,1754942912281281,18.919999885559086,1.43,TJ21051209996440,117.16774,39.112088,117.157178,39.114433,22,27,34,0.0146,3.9619999999999997,76.04,68.18333333333334,3.7739999999999996
2021-05-13,jd_uThDxjsiSEfV,4298782459329179,10.0,2021-05-13 11:33:08,18585787,17945630,1858578717945630,20.433333333333334,0.07200000000000001,TJ21051209996440,117.158629,39.113875,117.1589,39.11365,13,27,17,3.3141,4.985,90.33,68.18333333333334,3.7739999999999996
2021-05-13,jd_uThDxjsiSEfV,4298782370134464,7.33,2021-05-13 13:30:30,8346718,23265600,834671823265600,9.003333409627277,0.48100000000000004,TJ21051209996440,117.169201,39.115004,117.166753,39.116025,25,27,19,0.0374,10006.975,136.73,68.18333333333334,3.7739999999999996
2021-05-13,chen96967,4298782276089568,3.95,2021-05-13 07:54:00,17626222,13385920,1762622213385920,20.26666661898295,0.624,TJ21051209996469,117.205606,39.200471,117.20263700000001,39.202289,0,20,96,0.0381,21.284000000000002,332.45,55.926666180292756,3.076
2021-05-13,chen96967,4298788959778005,3.17,2021-05-13 08:23:35,18958899,8105632,189588998105632,13.89666659037272,0.767,TJ21051209996469,117.20565500000001,39.199482,117.200353,39.200386,16,20,2,0.0017,0.4,7.8,55.926666180292756,3.076
2021-05-13,chen96967,4298783859897663,8.35,2021-05-13 08:40:39,8105632,22996612,810563222996612,2.61666628519694,0.617,TJ21051209996469,117.200353,39.200386,117.198199,39.202277,13,20,8,0.3079,2.7910000000000004,40.78,55.926666180292756,3.076
2021-05-13,chen96967,4298792632744601,2.9,2021-05-13 08:54:51,8265334,8075395,82653348075395,7.999999904632569,0.637,TJ21051209996469,117.19572,39.20057,117.19488100000001,39.1976,4,20,5,0.0157,10.9,129.78,55.926666180292756,3.076
2021-05-13,chen96967,4298782286138906,7.12,2021-05-13 09:05:45,8075395,7945668,80753957945668,11.146666781107584,0.431,TJ21051209996469,117.19488100000001,39.1976,117.191906,39.199576,5,20,22,0.0099,7.92,94.34,55.926666180292756,3.076
2021-05-13,圣艾1352,4298783709428189,6.18,2021-05-13 08:38:28,8427020,18107430,842702018107430,17.970000171661376,0.674,TJ21051209996470,117.17478200000001,39.238067,117.1733,39.235742,1,22,23,0.0192,41.802,461.99,108.86000118255615,7.294
2021-05-13,圣艾1352,4298783005330451,2.33,2021-05-13 09:17:01,18665143,12105062,1866514312105062,22.28666674296061,1.074,TJ21051209996470,117.18196599999999,39.22659,117.183626,39.226103,3,22,27,0.0056,2.72,55.86,108.86000118255615,7.294
2021-05-13,圣艾1352,4298782363144025,5.43,2021-05-13 09:49:57,17825089,24065227,1782508924065227,38.85333350499471,3.803,TJ21051209996470,117.187505,39.221688,117.18994599999999,39.217786,6,22,145,0.3344,41.611000000000004,508.65,108.86000118255615,7.294
2021-05-13,圣艾1352,4298789030972502,9.0,2021-05-13 10:43:14,7987237,17874145,798723717874145,2.583333333333334,0.38799999999999996,TJ21051209996470,117.187877,39.217288,117.18483799999998,39.21656,8,22,14,3.3327,6.83,93.39,108.86000118255615,7.294
2021-05-13,圣艾1352,4298782317508516,2.33,2021-05-13 11:33:41,18747579,7867919,187475797867919,17.63666674296061,0.735,TJ21051209996470,117.192144,39.214259999999996,117.193496,39.211888,20,22,32,0.0032,8.06,117.95,108.86000118255615,7.294
2021-05-13,圣艾1352,4298782609275818,19.97,2021-05-13 11:53:39,7867919,12147125,786791912147125,9.530000686645508,0.62,TJ21051209996470,117.193496,39.211888,117.192384,39.210343,17,22,30,0.0094,7.87,121.01,108.86000118255615,7.294
2021-05-13,jd_JTyNaFeDNkJD,4298782700064283,4.33,2021-05-13 09:57:30,18434210,17748577,1843421017748577,15.670000076293945,0.32,TJ21051209996476,117.35475,39.253721,117.35708600000001,39.255569,7,17,20,0.0049,5.63,82.51,52.85666677157084,0.5760000000000001
2021-05-13,jd_JTyNaFeDNkJD,4298782317072070,22.58,2021-05-13 10:42:05,22667157,8387138,226671578387138,32.50333340962728,0.17,TJ21051209996476,117.35927099999999,39.257217,117.35784199999999,39.257973,10,17,153,0.1274,104.71,808.67,52.85666677157084,0.5760000000000001
2021-05-13,jd_JTyNaFeDNkJD,4298782461020990,3.7,2021-05-13 11:50:52,19267759,12108113,1926775912108113,4.683333285649617,0.086,TJ21051209996476,117.35828400000001,39.261857,117.35819199999999,39.262631,16,17,24,0.0071,6.6,98.61,52.85666677157084,0.5760000000000001
2021-05-13,wdGsFJWZqRatST,4298782300797166,4.55,2021-05-13 07:38:20,23666955,12185366,2366695512185366,7.516666475931803,0.52,TJ21051209996477,117.20871000000001,39.315754999999996,117.20771599999999,39.316839,1,12,32,0.006999999999999999,7.52,105.88,66.68999977111814,3.2760000000000002
2021-05-13,wdGsFJWZqRatST,4298782637258365,6.9,2021-05-13 07:50:24,12185366,19265152,1218536619265152,5.583333237965901,0.172,TJ21051209996477,117.20771599999999,39.316839,117.206717,39.317921999999996,2,12,10,0.0036,3.17,54.58,66.68999977111814,3.2760000000000002
2021-05-13,wdGsFJWZqRatST,4298782303406468,5.82,2021-05-13 08:02:53,19265152,7865192,192651527865192,8.863333161671957,0.127,TJ21051209996477,117.206717,39.317921999999996,117.207268,39.318012,3,12,60,0.0341,30.555999999999997,205.23,66.68999977111814,3.2760000000000002
2021-05-13,wdGsFJWZqRatST,4298783524026603,5.02,2021-05-13 08:24:35,23265346,7785171,232653467785171,1.0633333524068194,0.16699999999999998,TJ21051209996477,117.206055,39.313313,117.20475800000001,39.313159999999996,7,12,25,0.0077,4.543,97.75,66.68999977111814,3.2760000000000002
2021-05-13,wdGsFJWZqRatST,4298782285942296,2.5,2021-05-13 08:44:43,8308508,8307912,83085088307912,1.7166666666666668,0.077,TJ21051209996477,117.196197,39.316287,117.195245,39.316285,11,12,165,9.9899,47.715,671.37,66.68999977111814,3.2760000000000002
2021-05-13,wdGsFJWZqRatST,4298782911330817,4.22,2021-05-13 08:48:56,8307912,13388648,830791213388648,41.94666687647501,2.213,TJ21051209996477,117.195245,39.316285,117.20631399999999,39.31395,9,12,32,0.0046,9.177999999999999,166.49,66.68999977111814,3.2760000000000002
2021-05-13,jd_6af38edac7fa8,4299366430003004,8.03,2021-05-13 06:14:33,12310442,12075298,1231044212075298,12.320000267028812,8.201,TJ21051209996499,114.174621,33.003321,114.210053,32.962216999999995,3,35,5,0.1461,9.504,15.89,143.11666657129925,68.29599999999999
